physician_npi,name,specialty,sub_specialty,data_source
LAFJO,LAFJO,,,Syn
CARMICR,CARMICR,,,Syn
LUNDE,LUNDE,,,Syn
DORTO,DORTO,,,Syn
LORMA,LORMA,,,Syn
JT971,JT971,,,Syn
ER ADULT,ER ADULT,,,Syn
NONPHY,NONPHY,,,Syn
PEZZREYN,PEZZREYN,,,Syn
SHAANG,SHAANG,,,Syn
FARSH,FARSH,,,Syn
NONESTATED,NONESTATED,,,Syn
PK241,PK241,,,Syn
"Fabian, Kathleen DO",Kathleen Fabian DO,,,Syn
"Rowe, Jeannie DO",Jeannie Rowe DO,,,Syn
AW4046,AW4046,,,Syn
DUENJOSER,DUENJOSER,,,Syn
MARBAS,MARBAS,,,Syn
PC0001,PC0001,,,Syn
AB0082,AB0082,,,Syn
NONSTAFF,NONSTAFF,,,Syn
FIDAGA,FIDAGA,,,Syn
SWAAV,SWAAV,,,Syn
GUTHRIE,GUTHRIE,,,Syn
HUMJES,HUMJES,,,Syn
NOPCP,NOPCP,,,Syn
BRADA,BRADA,,,Syn
YINCH,YINCH,,,Syn
DARIY,DARIY,,,Syn
LIGHTE,LIGHTE,,,Syn
ALIMO,ALIMO,,,Syn
KRISM,KRISM,,,Syn
NGUJE,NGUJE,,,Syn
"MUELLER,CRAIG R",CRAIG R MUELLER,,,Syn
MARINAPA,MARINAPA,,,Syn
PC0002,PC0002,,,Syn
MARGAL,MARGAL,,,Syn
PASSMMD,PASSMMD,,,Syn
BRATON,BRATON,,,Syn
BLAAL,BLAAL,,,Syn
MCAIN,MCAIN,,,Syn
KHAZR,KHAZR,,,Syn
MILLTR,MILLTR,,,Syn
COR0017,COR0017,,,Syn
COLAND,COLAND,,,Syn
TAFFA,TAFFA,,,Syn
BARJO,BARJO,,,Syn
FAMNONE,FAMNONE,,,Syn
NOPRIM,NOPRIM,,,Syn
JAC0062,JAC0062,,,Syn
DRNOS,DRNOS,,,Syn
U,U,,,Syn
GOEPAU,GOEPAU,,,Syn
NPP,NPP,,,Syn
COHEL@DRUM,COHEL@DRUM,,,Syn
ERI0037,ERI0037,,,Syn
JES0084,JES0084,,,Syn
MJEP01,MJEP01,,,Syn
TROTCMD,TROTCMD,,,Syn
ER PED,ER PED,,,Syn
MERCMARIAV,MERCMARIAV,,,Syn
HARMI,HARMI,,,Syn
NDA,NDA,,,Syn
THEVU,THEVU,,,Syn
VILLGUIL,VILLGUIL,,,Syn
DAVMD,DAVMD,,,Syn
PRIDKELL,PRIDKELL,,,Syn
VOHRRMD1,VOHRRMD1,,,Syn
ALZAHRMO,ALZAHRMO,,,Syn
AKHAD,AKHAD,,,Syn
PCPNONE,PCPNONE,,,Syn
SIMCH,SIMCH,,,Syn
KOCHROBE,KOCHROBE,,,Syn
ODGROD,ODGROD,,,Syn
WATHE,WATHE,,,Syn
ALLCH,ALLCH,,,Syn
"Hartman, Eric J MD",Eric J Hartman MD,,,Syn
AR224,AR224,,,Syn
CARHI,CARHI,,,Syn
"NONE,PROVIDED",PROVIDED NONE,,,Syn
KIJOH,KIJOH,,,Syn
NOPHY,NOPHY,,,Syn
JOH0052,JOH0052,,,Syn
NON2398,NON2398,,,Syn
MURMI,MURMI,,,Syn
PALMJUDIT,PALMJUDIT,,,Syn
BROAM@COFF,BROAM@COFF,,,Syn
TONFR@QMUC,TONFR@QMUC,,,Syn
NLP,NLP,,,Syn
GRUE.11,GRUE.11,,,Syn
ER-STATON,ER-STATON,,,Syn
PATELB,PATELB,,,Syn
MUNLUY,MUNLUY,,,Syn
BODEW,BODEW,,,Syn
KOBRLAR,KOBRLAR,,,Syn
DOLLRAN,DOLLRAN,,,Syn
GINDMIC,GINDMIC,,,Syn
KUGLR,KUGLR,,,Syn
WINSH,WINSH,,,Syn
WHIDV,WHIDV,,,Syn
MOGDA,MOGDA,,,Syn
PITRA,PITRA,,,Syn
LUCJO,LUCJO,,,Syn
SHUJE,SHUJE,,,Syn
DOAHU,DOAHU,,,Syn
AM0022,AM0022,,,Syn
JOHKER,JOHKER,,,Syn
NOP2399,NOP2399,,,Syn
"Obermyer, Neal MD",Neal Obermyer MD,,,Syn
KURTH,KURTH,,,Syn
MOSS,MOSS,,,Syn
"LA,MAESTRA FAMILY CLINIC",MAESTRA FAMILY CLINIC LA,,,Syn
SAUDDA,SAUDDA,,,Syn
WATTMI,WATTMI,,,Syn
KHOSK,KHOSK,,,Syn
GA0151,GA0151,,,Syn
FORTOF,FORTOF,,,Syn
OMIAK,OMIAK,,,Syn
LEBLO,LEBLO,,,Syn
DHUVI,DHUVI,,,Syn
SINAR,SINAR,,,Syn
SAVIJU,SAVIJU,,,Syn
JM173,JM173,,,Syn
ACOCR,ACOCR,,,Syn
ABD0010,ABD0010,,,Syn
BOTKA,BOTKA,,,Syn
BELEV,BELEV,,,Syn
STELA,STELA,,,Syn
PLAS.01,PLAS.01,,,Syn
QUAEREX,QUAEREX,,,Syn
"Kovacev, Ted MD",Ted Kovacev MD,,,Syn
GRIALL,GRIALL,,,Syn
HAKZO,HAKZO,,,Syn
"NO,PCP PER PT",PCP PER PT NO,,,Syn
KEENDAV,KEENDAV,,,Syn
BARAT,BARAT,,,Syn
PHY.FATJO1,PHY.FATJO1,,,Syn
NIDTA,NIDTA,,,Syn
PATSO,PATSO,,,Syn
SHA0126,SHA0126,,,Syn
PONO,PONO,,,Syn
FOXRI,FOXRI,,,Syn
SPAPANDR,SPAPANDR,,,Syn
KHAMA,KHAMA,,,Syn
SAYJA,SAYJA,,,Syn
SINJU,SINJU,,,Syn
PREME,PREME,,,Syn
TIFTA,TIFTA,,,Syn
GRAUBR,GRAUBR,,,Syn
RIDDROB,RIDDROB,,,Syn
BRVZO,BRVZO,,,Syn
SIMAN,SIMAN,,,Syn
NASFA,NASFA,,,Syn
EFYNES,EFYNES,,,Syn
HWAEU,HWAEU,,,Syn
"Tumma, Kavita MD",Kavita Tumma MD,,,Syn
STAAN,STAAN,,,Syn
KOLKI,KOLKI,,,Syn
MUTTMI,MUTTMI,,,Syn
TOLECH,TOLECH,,,Syn
DUPRM,DUPRM,,,Syn
BILPA,BILPA,,,Syn
COOCA,COOCA,,,Syn
JOSLU,JOSLU,,,Syn
ROZJA,ROZJA,,,Syn
ZUZAK,ZUZAK,,,Syn
CRISC,CRISC,,,Syn
ENTEA,ENTEA,,,Syn
NONST,NONST,,,Syn
LEEMY,LEEMY,,,Syn
GREJA2,GREJA2,,,Syn
SCHSH,SCHSH,,,Syn
HEILINM,HEILINM,,,Syn
HUMPHREYSJ,HUMPHREYSJ,,,Syn
LL389,LL389,,,Syn
NON-PH,NON-PH,,,Syn
LIAKOL,LIAKOL,,,Syn
PDQEY,PDQEY,,,Syn
PATELD,PATELD,,,Syn
FLOM,FLOM,,,Syn
GABRFMD,GABRFMD,,,Syn
BARNHILLG,BARNHILLG,,,Syn
CONDDO,CONDDO,,,Syn
SULLKEV,SULLKEV,,,Syn
JOH0101,JOH0101,,,Syn
ROGDO,ROGDO,,,Syn
FRIST,FRIST,,,Syn
CHAUM,CHAUM,,,Syn
MOKBV,MOKBV,,,Syn
HIGJA2,HIGJA2,,,Syn
BORNI,BORNI,,,Syn
JAFGH,JAFGH,,,Syn
TWIN,TWIN,,,Syn
CHOAH,CHOAH,,,Syn
SASPA,SASPA,,,Syn
BRILE,BRILE,,,Syn
GEIEKA,GEIEKA,,,Syn
HIGBR,HIGBR,,,Syn
AN0672,AN0672,,,Syn
RUSJA,RUSJA,,,Syn
CAT0932,CAT0932,,,Syn
EMM0005,EMM0005,,,Syn
SCHC,SCHC,,,Syn
ZINGI,ZINGI,,,Syn
DOUGLA,DOUGLA,,,Syn
HANKI,HANKI,,,Syn
CFC,CFC,,,Syn
BRENDA,BRENDA,,,Syn
LOPEVI,LOPEVI,,,Syn
COBOJO,COBOJO,,,Syn
CHUOL,CHUOL,,,Syn
TSARA,TSARA,,,Syn
LAXAKR,LAXAKR,,,Syn
CLAJL,CLAJL,,,Syn
BJGID,BJGID,,,Syn
ULBJA,ULBJA,,,Syn
GILMA,GILMA,,,Syn
ERICNE,ERICNE,,,Syn
POSARO,POSARO,,,Syn
JOHKE,JOHKE,,,Syn
GOLNA,GOLNA,,,Syn
ZACER,ZACER,,,Syn
RIOTI,RIOTI,,,Syn
AMIAN,AMIAN,,,Syn
BLAST,BLAST,,,Syn
DAWDA,DAWDA,,,Syn
CUELAD,CUELAD,,,Syn
HOGG.20,HOGG.20,,,Syn
CAIKE@SUM,CAIKE@SUM,,,Syn
SCALE,SCALE,,,Syn
NIKO.01,NIKO.01,,,Syn
BIBB.01,BIBB.01,,,Syn
LAWRICH,LAWRICH,,,Syn
TAUTHJEFFR,TAUTHJEFFR,,,Syn
RICMAT,RICMAT,,,Syn
CANTV,CANTV,,,Syn
CARCOM,CARCOM,,,Syn
THOLA,THOLA,,,Syn
JEN0162,JEN0162,,,Syn
MORROWE,MORROWE,,,Syn
CAN0052,CAN0052,,,Syn
MAS0053,MAS0053,,,Syn
MATH,MATH,,,Syn
KATHE,KATHE,,,Syn
EMERPAT,EMERPAT,,,Syn
VICMA,VICMA,,,Syn
MIC2083,MIC2083,,,Syn
WINKY,WINKY,,,Syn
NUNENO,NUNENO,,,Syn
NODR,NODR,,,Syn
PRIED,PRIED,,,Syn
PEASA,PEASA,,,Syn
JENTE,JENTE,,,Syn
NOT,NOT,,,Syn
GILMDEE,GILMDEE,,,Syn
BORKO,BORKO,,,Syn
DS529,DS529,,,Syn
"Kumar, Ponon MD",Ponon Kumar MD,,,Syn
KEFBA,KEFBA,,,Syn
SHAW.02,SHAW.02,,,Syn
"Boutt, Anthony MD",Anthony Boutt MD,,,Syn
HYKDE,HYKDE,,,Syn
ROMAL,ROMAL,,,Syn
ANDE,ANDE,,,Syn
VIEST,VIEST,,,Syn
OGBKE,OGBKE,,,Syn
